Meal Type,Recipe name,Calories (kcal),Protein (g),Fats (g),Ingredients,Instructions,Estimated Cost (₹)
Snack,Chicken Spiedies Marinated Chicken On A Bun,221.0,1.7,9.8,"'1A3 cup (80ml) vegetable oil', '1A4 cup (60ml) freshly squeezed lemon juice', '1A4 cup (60ml) distilled white vinegar', '2 garlic cloves', '2 sprigs fresh mint', '2 sprigs fresh dill', '1A2 tablespoon kosher salt', '1 teaspoon low-sodium soy sauce', '1 teaspoon garlic powder', '1 teaspoon freshly ground black pepper', '1A2 teaspoon dried oregano', '1A4 teaspoon red pepper flakes', '1A4 teaspoon ground cardamom', '1 1A2 pounds (680g) boneless, skinless chicken breasts or thighs, cut into 1-inch (2.5cm) chunks', '4 super-soft hero rolls, split lengthwise', 'Shredded iceberg lettuce, chopped tomatoes, chopped white onion, sliced pepperoncini, and chopped olives'","1. In a blender, combine the oil, lemon juice, vinegar, garlic, mint, dill, salt, soy sauce, garlic powder, black pepper, oregano, red pepper flakes, and cardamom and puree until smooth and emulsified.
2. Put the chicken in a large mixing bowl and pour the marinade over it, reserving about 1A2 cup marinade in a small bowl, and covering and refrigerating it.
3. Mix the chicken well with the marinade, cover, and refrigerate for at least 4 hours or up to .
4. The acidic marinade will start to break down the chicken, so if a more tender texture bothers you, marinate for 4 to 5 hours.
5. I, however, am a fan of that texture and think an aggressively long, -hour marinade gives the chicken that much more flavor.
6. Heat a grill until it is so hot you (almost) canAt look directly at it.
7. Skewer the chicken; you can make a giant skewer to save space or lots of little ones for easier turning.
8. Cook the skewered chicken, turning three times, until nicely charred, 5 to 7 minutes on each of the four sides.
9. Let the chicken rest for minutes, then take it off the skewers.
10. To serve on the rolls, top with whichever of the following makes you the happiest: lettuce, tomatoes, onion, reserved marinade, pepperoncini, olives.
11. Or donAt use any toppings, as itAs meant to be eaten, in my book (which this literally is).",350.61
Lunch,Seed And Nut Bread,533.6,38.9,15.4,"' cup (50g or oz) chia seeds', ' cup (20g or oz) psyllium husks', '2 cups (320g or oz) cooked quinoa', ' cups (375ml or fl oz) water', '1 cup (160g or oz) sunflower seeds', ' cup (80g or oz) flaxseeds', ' cup (120g or oz) roughly chopped almonds', ' cup (60ml or 2 fl oz) extra virgin olive oil', '2 tablespoons maple syrup', ' teaspoon sea salt flakes'","1. Preheat oven to ().
2. Line a 10cm x 21cm (4-inch x 8-inch) loaf tin with non-stick baking paper.
3. Place the chia seeds, psyllium husks, quinoa and water in a large bowl and mix to combine.
4. Allow to stand for minutes.
5. Add the sunflower seeds, flax seeds, almonds, oil, maple syrup and salt and mix well to combine.
6. Pour the mixture into the tin.
7. Bake for 1 hour minutes or until firm to the touch.
8. Allow to cool in the tin before turning out and slicing to serve.",129.45
Lunch,Pasta With Broccoli And Lemon Cashew-Cream Sauce,673.7,35.4,26.9,"'1 cup (150g or oz) raw cashews', '2 cups (500ml or fl oz) boiling water', '1 cup (250ml or fl oz) good-quality vegetable stock', ' cup (60ml or 2 fl oz) lemon juice', 'Sea salt and cracked black pepper', '400g ( oz) dried wholemeal (whole-wheat) spaghetti', '300g ( oz) broccoli florets (about 1 head)', ' cup (10g or oz) small basil leaves', '1 tablespoon finely shredded lemon rind'","1. To make the lemon cashew-cream sauce, place the cashews in a medium heatproof bowl and cover with the boiling water.
2. Allow to stand for minutes.
3. Drain the cashews well and place them in a blender.
4. Add the stock, lemon juice, salt and pepper and blend until very smooth.
5. Cook the pasta in a large saucepan of salted boiling water for 6 minutes.
6. Add the broccoli and cook for a further 4 minutes or until the pasta is al dente and the broccoli is just tender.
7. Drain the pasta and broccoli and immediately return to the warm saucepan.
8. Add the cashew-cream sauce and toss to combine.
9. Divide the pasta between serving bowls and top with the basil and lemon rind to serve.",130.99
Lunch,Coconut-Lime Energy Bites,657.4,18.5,29.5,"'1 cup pitted dates', '1 cup rolled oats', '1 cup unsweetened shredded coconut or coconut flakes, plus extra for rolling', ' cup macadamia nuts or cashews', ' cup hemp seeds', '2 tablespoons white chia seeds (black chia are okay, too)', '2 tablespoons unsweetened cashew butter', 'Zest and juice of 2 limes', '1 teaspoon pure vanilla extract', ' teaspoon spirulina or chlorella powder (optional)', ' teaspoon maca powder (optional)', ' teaspoon kosher salt'","1. In a food processor, combine all of the ingredients and pulse until the mixture is evenly chopped and beginning to stick together and form a ball.
2. Transfer the AdoughA to a medium bowl and chill in the refrigerator for minutes.
3. Using a small ice cream scoop, or about tablespoon measure, portion the dough into balls.
4. Roll each ball with your hands to make it smooth.
5. Sprinkle shredded coconut or coconut flakes onto a plate and roll the balls in it to lightly coat.
6. Store the bites in an airtight container in the fridge for up to 2 weeks or the freezer for up to 1 month.",202.43
Lunch,Satay Lettuce Wraps,686.9,37.9,19.8,"'A cup plus 1 tablespoon coconut aminos', '3 tablespoons natural almond butter', '1 tablespoon raw honey or pure maple syrup', '2 teaspoons toasted sesame oil', ' to teaspoon sriracha hot sauce, to taste', '1 pound chicken or turkey breast, ground or cut into bite-size pieces', '1 red bell pepper, cored, seeded, and chopped', '1 cup finely chopped broccoli', '1 cup chopped purple cabbage', '1 cup shredded carrots', '8 green onions (white and green parts), chopped', ' cup chopped jicama', ' cup chopped celery', '4 to 6 lettuce leaves (Bibb, Boston, or romaine), washed and dried well', ' cup unsalted cashew pieces', 'Toasted sesame seeds or hemp seeds'","1. In a small bowl or medium jar, whisk or shake together the sauce ingredients until well combined.
2. Set aside.
3. In a large nonstick skillet over medium-high heat, cook the meat until browned and no longer pink, 5 to minutes.
4. Add the vegetables and the sauce mixture and cook until the green onions and red peppers are softened and the meat has soaked up the mixture, about 5 minutes more.
5. Remove the pan from the heat.
6. Spoon about A cup of the filling into a lettuce leaf.
7. Sprinkle with the cashews and sesame or hemp seeds and enjoy!",413.55
Lunch,Sweet Potato And Pecan Waffles,639.1,23.9,20.5,"'1 medium sweet potato, baked until tender, skin removed, and mashed (about cup)', '1 cup rolled oats', '1 cup unsweetened almond, coconut, or cashew milk', '2 eggs or egg replacer equivalent', '3 tablespoons unsweetened almond butter', '1 tablespoon flax meal', '2 teaspoons baking powder', '1 teaspoon pure vanilla extract', '1 teaspoon ground cinnamon', 'Zest of 1 medium clementine', 'Pinch of ground cardamom', 'Pinch of ground nutmeg', ' cup chopped pecans, plus more for topping', 'Olive oil cooking spray', 'Maple syrup, for serving (optional)'","1. Combine all of the ingredients except the pecans in a blender or food processor and blend until relatively smooth (there may still be some lumps; thatAs okay).
2. Fold in the pecans.
3. Preheat a waffle iron to medium heat and grease with cooking spray.
4. Pour about cup of the batter into the center of the waffle iron.
5. Press closed and cook until the waffle is golden brown and the edges are slightly crisp, 3 to 4 minutes.
6. Flip and repeat on the other side.
7. Serve warm topped with pecans and a drizzle of maple syrup, if desired.",347.71
Snack,Instant Pot Lemon Chicken With Garlic And Olives,227.5,7.4,14.1,"'1 tablespoon extra virgin olive oil, plus more as needed', '2 pounds bone-in, skin-on chicken thighs, patted dry (4 to 6, depending on the size)', ' teaspoon kosher salt, plus more if needed', ' teaspoon freshly ground black pepper cup chicken stock, preferably homemade', ' cup mixed pitted olives 4 thin slices lemon', '4 garlic cloves, thinly sliced', '2 anchovy fillets, chopped (optional) 1 tablespoon drained capers 1 teaspoon fresh rosemary needles, chopped', '1 teaspoon fresh thyme leaves, chopped, plus more for garnish', ' teaspoon fennel seeds, lightly crushed with a mortar and pestle or with the flat side of a knife'","1. Using the sautA function of your pressure cooker (set on high if possible), heat the oil in the pressure cooker pot.
2. Season the chicken with the salt and pepper and arrange in a single layer, skinside down, on the bottom of the pot. (Work in batches if they donAt fit in a single layer, adding more oil for each batch.) Cook, without moving, until well browned, about 8 minutes. (You only have to brown it on one side).
3. Flip the chicken, pour in the stock, and scatter with the olives, lemon slices, garlic, anchovies (if using), capers, rosemary, thyme, and fennel seeds.
4. Lock the lid into place and cook on high pressure for minutes.
5. Let the pressure naturally release.
6. Discard the lemon slices and transfer the chicken to serving plates; keep loosely tented with foil.
7. Using the sautA function, bring the sauce to a simmer and cook until thickened slightly, 3 to 5 minutes.
8. Taste and adjust the salt and pepper if necessary.
9. Spoon the sauce over the chicken and serve garnished with thyme.
10. Cook it slow: After step 2, slow cook on high for 3 to 4 hours or low for 4 to 5 hours.",257.23
Lunch,Instant Pot Lemon Vanilla Rice Pudding With Whipped Cream,614.1,34.9,28.5,"' cup Arborio or other short-grain white rice', '3 cups whole milk', ' cup sugar', '1 cinnamon stick', '1 teaspoon finely grated lemon zest', 'Pinch of kosher salt', ' vanilla bean, halved lengthwise', ' cup heavy cream', '2 egg yolks', ' cup raisins (optional)', 'Ground cinnamon, for serving (optional)', 'Whipped cream, for serving (optional)'","1. In the pressure cooker pot, stir together the rice, milk, sugar, cinnamon stick, lemon zest, and salt.
2. Use the tip of a paring knife to scrape the vanilla seeds out of the pod into the pot and add the vanilla bean, too.
3. Lock the lid into place and cook on high pressure for 4 minutes.
4. Let the pressure release naturally for minutes, then manually release the remaining pressure.
5. Remove and discard the cinnamon stick and vanilla bean.
6. In a small bowl, whisk together the cream and yolks.
7. Whisk into the rice, continuing to stir until thickened, 2 to 4 minutes.
8. The residual heat of the rice will cook the yolks.
9. Stir in the raisins (if using).
10. Spoon the pudding into serving bowls, then cover with plastic wrap and chill for at least 4 hours.
11. The pudding will thicken as it cools.
12. Serve with a sprinkle of ground cinnamon and whipped cream, if desired.",270.2
Lunch,Instant Pot Middle Eastern Lentils With Rice Leeks And Spinach,491.8,18.9,28.2,"'3 tablespoons extra-virgin olive oil, plus more for serving', '2 large or 3 small leeks (white and light green parts only), halved and thinly sliced', 'Kosher salt', '2 garlic cloves, finely grated or minced', '1 teaspoon ground cumin', ' teaspoon ground allspice', ' teaspoon cayenne pepper', '1 cup brown or green lentils', '1 bay leaf', '1 cinnamon stick', ' cup long-grain white rice', '5 ounces baby spinach', '1 cup plain yogurt'","1. Using the sautA function, heat the oil in the pressure cooker pot.
2. Stir in the leeks and cook, stirring occasionally, until they are dark golden at the edges, about minutes.Season with a pinch of salt.
3. Use a slotted spoon to scoop out half the leeks and transfer to a bowl; set aside for the garnish.
4. Stir the garlic into the pot and cook until fragrant, about seconds.
5. Stir in the cumin, allspice, and cayenne and cook for seconds.
6. Add the lentils, 2 cups water, 2 teaspoons salt, the bay leaf, and cinnamon stick to the pot.
7. Lock the lid into place and cook on high pressure for 1 minute.
8. Let the pressure release naturally for 5 minutes, then manually release the remaining pressure.
9. Uncover the pot and stir in the rice, working quickly so the lentil mixture stays hot.
10. Lock the lid back into place and cook on high pressure for 8 minutes.
11. Manually release the pressure.
12. Uncover and stir in the spinach.
13. Cover the pot with the lid (but donAt lock it on) and let it sit for 5 to minutes to wilt the greens and finish cooking the rice.
14. In a small bowl, season the yogurt with salt to taste.
15. Discard the bay leaf and cinnamon stick.
16. Serve the lentils warm, garnished with the reserved leeks and salted yogurt on top, and drizzled with more olive oil.",234.9
Dinner,Beans And Greens Polenta Bake,505.1,31.6,15.2,"'3 cups still-warm Big-Batch Parmesan Polenta', '6 garlic cloves, thinly sliced', ' cup extra-virgin olive oil, plus more for drizzling', '1 (.5-oz.) can white beans, rinsed', ' tsp. crushed red pepper flakes (optional)', '1 bunch curly or Tuscan kale or escarole, tough ribs and stems removed, leaves torn into bite-size pieces', '1 Tbsp. white or red wine vinegar', ' tsp. kosher salt', ' cup finely grated Parmesan, plus more for topping'","1. Pour warm polenta into a large ovenproof skillet or a ceramic baking dish or metal baking pan and spread into an even layer (ideally about 1A thick).
2. Let cool, then cover and chill at least 1 hour and up to 1 week.
3. Preheat oven to .
4. Heat garlic and cup oil in a large skillet over medium, stirring occasionally, until garlic is fragrant and starting to brown, about 3 minutes.
5. Add beans and red pepper flakes (if using), then, working in batches, add kale, letting it wilt slightly after each addition before adding more, and cook, stirring occasionally, until tender and evenly darkened in color, about 3 minutes.
6. Stir in vinegar and salt and cook, still stirring occasionally, until liquid evaporates, about 2 minutes.
7. Remove from heat and stir in cup Parmesan.
8. Scrape kale mixture over prepared polenta and spread into an even layer.
9. Drizzle with more oil and sprinkle with more Parmesan.
10. Transfer skillet to oven and bake until polenta is warmed through and topping is lightly crisped and browned, minutes.",179.83
Dinner,Pantry Dinner Salad With Polenta Croutons,648.5,18.4,29.0,"' cup extra-virgin olive oil', ' cup red or white wine vinegar', ' tsp. Dijon or whole grain mustard', ' tsp. honey or agave nectar', ' tsp. kosher salt', ' tsp. freshly ground black pepper', '3 cups still-warm Big-Batch Parmesan Polenta', 'A cup finely grated Parmesan', '2 Tbsp. extra-virgin olive oil', ' red onion or 1 shallot, thinly sliced', '1 (heaping) cup thinly sliced raw crunchy vegetables (such as fennel, radishes, andor celery)', ' tsp. kosher salt', '1 head of radicchio, escarole, or romaine, leaves separated, torn into bite-size pieces', '2 oz. thinly sliced salami, prosciutto, or other cured meat (optional)', '1 cup olives, pickles, peperoncini, or marinated artichoke hearts, sliced if desired', ' cup (loosely packed) tender herbs (such as basil, parsley, mint, andor dill)'","1. Whisk together oil, vinegar, mustard, honey, salt, and pepper in a small bowl (or shake together in a small jar).
2. Set aside.
3. Pour polenta into a square or rectangular airtight container and spread into an even layer.
4. Let cool, then cover and chill at least 1 hour and up to 1 week. (The polenta will set into a solid block.) Turn out polenta onto a cutting board and cut into 1A cubes.
5. Place Parmesan in a wide shallow bowl and, working in batches, toss cubes in cheese to coat.
6. Using your hands, press cheese against edges of polenta to adhere, then transfer to a plate.
7. Heat oil in a nonstick skillet over medium-high.
8. Working in batches as needed, place as many polenta cubes as will fit in an even layer with 1A space between each in skillet.
9. Let fry, undisturbed, until bottoms are crisp and browned, about 4 minutes.
10. Resist the urge to move the cubes before 3 minutes have passed to avoid pulling the Parmesan coating off the polenta.
11. Turn over one at a time, making sure cubes donAt stick together, and repeat cooking process with opposite sides of cubes.
12. Transfer to a plate.
13. Toss onion, crunchy vegetables, and salt in a large bowl.
14. Add radicchio, salami (if using), olives, and herbs and toss to combine.
15. Drizzle reserved dressing over and toss gently to coat.
16. Add warm croutons and gently toss again.",402.67
Dinner,Big-Batch Parmesan Polenta,400.3,19.2,29.1,"'1 Tbsp. kosher salt', '3 cups polenta (coarse cornmeal)', ' cups finely grated Parmesan', '1 tsp. freshly ground black pepper'","1. Bring 9 cups water to a boil in a medium pot over high.
2. Add salt and reduce heat to medium-low.
3. Stirring constantly with a wooden spoon, gradually stream in polenta.
4. Cook, stirring often, until thick and creamy, minutes.
5. Remove from heat and stir in Parmesan and pepper.",53.49
Lunch,Backyard Citrus Upside-Down Cake,595.7,19.0,14.5,"'1 stick (113g) unsalted butter', ' cup (100g) plus 2 tablespoons sugar', '2 large unwaxed lemons, ends trimmed, then halved, seeded, and sliced A inch thick', ' cups (313g) all-purpose flour', '1 teaspoon baking powder', ' teaspoon baking soda', ' teaspoon kosher salt', '2 large eggs', '1 cup (236ml) olive oil', '1 cup (227g) full-fat plain Greek yogurt', '1 cup (200g) sugar'","1. Position a rack in the center of your oven and preheat the oven to .
2. Butter a 9-inch round cake pan and line it with parchment paper.
3. In a medium saucepan over low heat, melt the butter.
4. Remove the pan from the heat and add cup of the sugar and 2 tablespoons of water.
5. Whisk the mixture until the sugar dissolves and the mixture is glossy and thickened a little.
6. Pour the melted butter and sugar into the prepared cake pan and smooth into an even layer to cover the bottom.
7. Place the cake pan in the freezer until the butter and sugar layer freezes; leave the pan in the freezer until you are ready to transfer the batter to the pan.
8. In a small bowl, gently toss the lemon slices with the remaining 2 tablespoons of sugar.
9. Leave the lemon slices in the sugar to macerate for minutes.
10. Sift the flour, baking powder, baking soda, and salt into a large bowl.
11. Set aside.
12. Combine the eggs with the olive oil in another large bowl and beat vigorously with a whisk until well combined.
13. Add the yogurt and sugar.
14. Make a well in the flour mixture and add the wet mixture in three additions, folding in each addition until no dry bits of flour remain.
15. Set aside.
16. Fan the lemon slices out to cover the melted butter and sugar in the cake pan, overlapping the slices by as much as 1A8 inch.
17. Pour the cake batter directly on top of the lemon slices.
18. Bake for about 1 hour, until a cake tester inserted into the center comes out with only a few moist crumbs clinging to it.
19. Transfer to a wire cooling rack and let cool for minutes.
20. Invert the cake onto a serving plate and carefully remove the parchment-paper lining.
21. Allow the cake to cool for 1 hour more before serving.
22. Note: This cake can be made with nearly any citrus, my favorite being lemon because I like it to be bitter and tart.
23. The only citrus I would not use is raw grapefruit, oro blanco, or lime.
24. The rinds of grapefruit and oro blanco are much thicker than lemons and oranges and they will take longer to bake.
25. Lime and grapefruit also retain too much of the bitter quinine flavor and will make for an odd-tasting cake",203.35
Lunch,Sourdough Biscuits,643.5,22.8,23.5,"' tsp. baking powder', ' tsp. baking soda', '1 tsp. kosher salt', ' tsp. sugar', ' cups ( g) all-purpose flour, plus more for dusting', ' cup (1 stick) chilled unsalted butter or vegan butter (preferably MiyokoAs), cut into small pieces, plus 2 Tbsp. melted for brushing', '1 cup ( g) sourdough starter discard from a starter fed within the previous hours, room temperature', 'Flaky sea salt (optional)'","1. Preheat oven to .
2. Stir together baking powder, baking soda, kosher salt, sugar, and cups flour with a fork in a large bowl.
3. Add cup chilled butter and toss with your hands or fork just to coat.
4. Using your fingers, smash butter into flat disks (if you miss a few, it will be fine).
5. Using a pastry cutter or fork, work butter into dry ingredients until shaggy crumbles form (you should have some large pieces, some small pieces, some flat pieces, and some sandy flour).
6. Add sourdough starter and mix gently with fork to incorporate, then fold with your hands just until dough comes together with just a few crumbly pieces in the bottom of the bowl.
7. Transfer dough to a well-floured surface and pat out with your hands until about thick (the shape doesnAt matter too much at this point).
8. Fold into thirds as you would a letter to create a rough rectangle.
9. Working from short sides, fold in thirds like a letter again.
10. Pat dough out to a -thick square.
11. Repeat folding process.
12. Pat out dough for a third time to a 1A-thick squareAit should feel airy, like a pillow at this point.
13. Using a floured -diameter biscuit cutter or glass, punch out as many biscuits as you can (do not twist cutter).
14. Transfer biscuits to a parchment-lined rimmed baking sheet, spacing at least 1A apart.
15. Using your hands, gently press scraps into a rectangle, then fold in half.
16. Pat out to a 1A-thick rectangle and cut out more biscuits.
17. Gather remaining scraps together to form 1 final biscuit (you should have total).
18. Transfer to baking sheet.
19. Brush biscuit tops with 2 Tbsp. melted butter and sprinkle with sea salt if desired Bake biscuits until tall and golden and an instant-read thermometer inserted into the side of a biscuit registers ), minutes.",175.1
Dinner,Carrot Ribbon Salad With Ginger Parsley And Dates,545.0,19.7,21.8,"'1 pound medium carrots (about 6), preferably rainbow', '2 tablespoons extra-virgin olive oil', '2 tablespoons fresh lemon juice', '1 teaspoon grated peeled fresh ginger', ' teaspoon honey', 'Kosher salt', 'A cup finely chopped fresh flat-leaf parsley', ' cup roasted salted almonds, coarsely chopped', '6 large Medjool dates, pitted and thinly sliced lengthwise'","1. Using a vegetable peeler, shave the carrots into long, thin slices, watching out for your fingers.
2. Soak, along with any remaining carrot nubs, in a bowl of ice water until the slices curl, about minutes.
3. Drain and pat dry.
4. In a large salad bowl, whisk together the oil, lemon juice, ginger, honey, and A teaspoon salt.
5. Add the carrots, parsley, half the almonds, and half the dates and toss to combine.
6. Adjust the salt to taste.
7. Top the salad with the remaining almonds and dates and serve.",142.93
Lunch,Sumac Spelt And Apple Cake,493.1,24.8,15.8,"'2 large Granny Smith or Bramley apples, peeled, cored and roughly chopped', '1 Tbsp ( ml) lemon juice', ' cup ( ml) water', '1 cups ( g) wholemeal spelt flour', 'Scant cup ( g) ground almonds', '1 Tbsp ( g) sumac', '1 tsp baking powder', '1 tsp baking soda', ' cup ( ml) sunflower oil', ' cup plus 2 tbsp ( g) superfinecaster sugar', '1 cups ( g) applesauce', '3 Braeburn apples, peeled, cored and diced into small chunks', ' cup ( g) confectionersA sugar', '1 Tbsp ( ml) lemon juice', 'Sumac, to dust'","1. Preheat the oven to ().
2. Grease a 1-pound (-g) loaf pan and line with parchment paper.
3. To make the applesauce, add the apple pieces to a saucepan with the lemon juice and water.
4. Let them simmer for to minutes, or until they have completely softened.
5. Remove from the heat and mash the apples with a fork until smooth.
6. You will need roughly 1 cups ( g) for this recipe.
7. To make the cake, mix together the flour, almonds, sumac, baking powder and baking soda in a large bowl and set aside.
8. In a medium bowl, combine the oil, sugar and applesauce.
9. Add the wet ingredients into the dry ingredients and stir gently, ensuring there are no lumps of flour.
10. The batter will be fairly thick.
11. Mix in the chopped apples and pour the batter into the prepared loaf pan.
12. Bake for to minutes, or until a toothpick inserted comes out clean.
13. Leave to cool completely in the pan before turning it out.
14. To make the drizzle, mix the sugar and lemon juice in a medium bowl until itAs thick enough to coat the back of a spoon.
15. If itAs too thin, add some more sugar or loosen it up by adding more lemon juice.
16. Once the cake is completely cool, use a teaspoon to drizzle the icing and sprinkle on a little more sumac.",235.89
Lunch,Strawberry Honey Balsamic With Black Pepper Ice Cream,421.1,27.6,28.0,"' ounces (about 1 pint) ripe strawberries, hulled and halved', ' cup honey', 'Heat the oven to . Line a sheet pan with parchment paper.', ' cup granulated sugar', '2 tablespoons dry milk powder', ' teaspoon xanthan gum', '2 tablespoons light corn syrup', '1A cups whole milk', '1A cups heavy cream', ' cup Strawberry Puree (recipe follows), very cold', ' cup honey balsamic vinegar, like Honey Ridge Farms or O Olive Oil', 'A teaspoon freshly (and very finely) ground black pepper', '3 cups Ice Cream Base (recipe follows), very cold', ' cup your favorite strawberry jam'","1. Spread the strawberries out evenly on the lined sheet pan and drizzle them with the honey.
2. Bake for minutes.
3. Stir the berries and continue baking until they just barely begin to caramelize and get a little bit of roasted color to them, about minutes more.
4. Remove the sheet pan from the oven and let them sit until theyAre cool enough to handle.
5. Transfer the berries to a blender along with the yummy sticky stuff on the parchment paper and puree to make a smooth sauce.
6. Chill in the fridge until cold.
7. Store the puree in the fridge for up to 2 weeks or in the freezer for up to 3 months.
8. Combine the sugar, dry milk, and xanthan gum in a small bowl and stir well.
9. Pour the corn syrup into a medium pot and stir in the whole milk.
10. Add the sugar mixture and immediately whisk vigorously until smooth.
11. Set the pot over medium heat and cook, stirring often and adjusting the heat if necessary to prevent a simmer, until the sugar has fully dissolved, about 3 minutes.
12. Remove the pot from the heat.
13. Add the cream and whisk until fully combined.
14. Transfer the mixture to an airtight container and refrigerate until well chilled, at least 6 hours, or for even better texture and flavor, hours.
15. Stir the base back together if it separates during the resting time.
16. The base can be further stored in the fridge for up to 1 week or in the freezer for up to 3 months. (Just be sure to fully thaw the frozen base before using it.) In a bowl, combine the strawberry puree, vinegar, and black pepper with the ice cream base.
17. Whisk as needed to get everything completely incorporated into the base.
18. Pour the mixture into an ice cream maker and turn on the machine.
19. Churn just until it has the texture of soft-serve.
20. Stir the jam with a fork to loosen it.
21. Quickly alternate spooning layers of the mixture and dollops of the jam in freezer-friendly containers.
22. Cover with parchment paper, pressing it to the surface of the ice cream so it adheres, then cover with a lid.
23. ItAs okay if the parchment hangs over the rim.
24. Store it in the coldest part of your freezer (farthest from the door) until firm, at least 6 hours.
25. It will keep for up to 3 months.",284.26
Lunch,Togarashi Cheesecake With Sorghum,674.2,27.7,16.7,"'2 cups gingersnap cookie crumbs', ' tablespoons sugar', '5 tablespoons unsalted butter, melted', '4 ounces fresh goat cheese, at room temperature', '6 ounces cream cheese, at room temperature', ' cup buttermilk', ' cup plus 2 tablespoons sugar', '4 large eggs', 'Grated zest and juice of 1 lemon', '1 teaspoon togarashi (see note)', 'About 1 tablespoon sorghum for garnish'","1. Preheat the oven to .
2. Stir the cookie crumbs, sugar, and melted butter together in a medium bowl with a fork until the crumbs are evenly moistened.
3. Press the mixture evenly onto the bottom of a 9-inch springform pan.
4. Bake until golden brown and crispy, about minutes.
5. Cool completely.
6. Reduce the oven temperature to .
7. In the bowl of a stand mixer fitted with the paddle attachment (or using a handheld mixer), beat together the goat cheese, cream cheese, and buttermilk until smooth and fluffy, 4 to 5 minutes.
8. Gradually beat in the sugar until smooth.
9. Beat in the eggs one at a time.
10. Beat in the lemon zest and juice.
11. Beat in teaspoon of the togarashi.
12. Pour the filling into the springform pan.
13. Sprinkle the top with the remaining teaspoon togarashi.
14. Wrap the pan in aluminum foil to prevent leaks and place the pan in a large roasting pan.
15. Pour enough hot water into the roasting pan to come one-third of the way up the sides of the cake pan.
16. Bake the cheesecake for 1 hour and minutes, or until slightly puffed.
17. Remove the cake pan from the water bath and allow it to cool to room temperature, then chill in the refrigerator for at least 2 hours. (The cheesecake can be refrigerated, tightly wrapped in plastic wrap, for up to 5 days.) To serve, run a thin knife around the sides of the cake pan and release the sides of the pan.
18. Slide the cheesecake onto a serving platter.
19. Drizzle the top with a little sorghum, slice, and serve.",202.0
Lunch,Spicy Tomatoatuna Noodle Skillet Casserole With Aioli,616.6,32.2,14.2,"'1 large egg yolk', '1 garlic clove, finely grated', ' tsp. kosher salt, plus more', ' cup (or more) extra-virgin olive oil', '1 medium onion, cut into large pieces', '2 garlic cloves', ' cup coarsely chopped roasted red peppers from a jar', '3 Tbsp. extra-virgin olive oil, plus more for drizzling', ' oz. rigatoni, mezzi rigatoni, ditali, or other short or medium-length straight tube pasta', '2 (5A6-oz.) cans or jars oil-packed tuna', '1 oil-packed anchovy fillet, coarsely chopped', '1 tsp. kosher salt, divided', 'Freshly ground black pepper', '2 Tbsp. double-concentrated or regular tomato paste', '1 (.5-oz.) can crushed tomatoes or whole peeled tomatoes with their juices, crushed', '1 tsp. ground turmeric', ' tsp. crushed red pepper flakes', 'Coarsely chopped parsley (for serving; optional)'","1. Whisk egg yolk, garlic, tsp. salt, and 2 tsp. water in a small bowl to combine.
2. Place bowl on a kitchen towel so it wonAt slide around as you whisk and gradually stream in oil, whisking constantly until thick and emulsified.
3. Aioli should be thick but pourable; gradually whisk in more oil if needed.
4. Taste and season with more salt if desired.
5. Place rack in upper third of oven; preheat to .
6. Pulse onion, garlic, and roasted red peppers in a food processor until finely chopped; set aside.
7. Heat 3 Tbsp. olive oil in a ovenproof skillet, preferably cast iron, over medium-low.
8. Add pasta and cook, stirring often, until evenly coated in oil and lightly browned, about 5 minutes (depending on the size and shape of your pasta, you may need to work in batches).
9. Using a slotted spoon, transfer to a large bowl.
10. Reserve pan.
11. Drain tuna, reserving 2 Tbsp. tuna oil. place oil in reserved pan and increase heat to medium.
12. Add anchovy, tsp. salt, and reserved chopped vegetable mixture and season with pepper.
13. Cook, stirring occasionally, until vegetables soften, 5A7 minutes.
14. Add tomato paste and cook, stirring, until slightly darkened in color, about 3 minutes.
15. Mix in toasted pasta, tomatoes, turmeric, red pepper flakes, remaining tsp. salt, and cups water and bring to a boil.
16. Cook, stirring occasionally, until pasta is slightly softened, minutes.
17. Remove from heat and stir in drained tuna and cup water.
18. Transfer skillet to oven and bake casserole until pasta is tender and juices at the edges are bubbling, about minutes.
19. Remove from oven.
20. Heat broiler.
21. Drizzle casserole with a little olive oil and broil until browned and crisped in spots, about 4 minutes.
22. Spoon some aioli over casserole and top with parsley if desired.
23. Serve remaining aioli alongside.",379.19
